Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	R:\K\Kutichim\211221\62_Slot1-54_1_2674.d	R:\K\Kutichim\211221\62_Slot1-54_1_2714.d	R:\K\Kutichim\211221\63_Slot1-42_1_2676.d	R:\K\Kutichim\211221\63_Slot1-42_1_2716.d	R:\K\Kutichim\211221\64_Slot1-38_1_2678.d	R:\K\Kutichim\211221\64_Slot1-38_1_2718.d	R:\K\Kutichim\211221\65_Slot1-49_1_2680.d	R:\K\Kutichim\211221\65_Slot1-49_1_2720.d	R:\K\Kutichim\211221\66_Slot1-44_1_2682.d	R:\K\Kutichim\211221\66_Slot1-44_1_2722.d	R:\K\Kutichim\211221\67_Slot1-40_1_2684.d	R:\K\Kutichim\211221\67_Slot1-40_1_2724.d	R:\K\Kutichim\211221\68_Slot1-27_1_2686.d	R:\K\Kutichim\211221\68_Slot1-27_1_2726.d	R:\K\Kutichim\211221\69_Slot1-52_1_2688.d	R:\K\Kutichim\211221\69_Slot1-52_1_2728.d	R:\K\Kutichim\211221\70_Slot1-43_1_2690.d	R:\K\Kutichim\211221\70_Slot1-43_1_2730.d	R:\K\Kutichim\211221\71_Slot1-46_1_2692.d	R:\K\Kutichim\211221\71_Slot1-46_1_2732.d	R:\K\Kutichim\211221\72_Slot1-22_1_2694.d	R:\K\Kutichim\211221\72_Slot1-22_1_2734.d	R:\K\Kutichim\211221\73_Slot1-53_1_2696.d	R:\K\Kutichim\211221\73_Slot1-53_1_2736.d	R:\K\Kutichim\211221\74_Slot1-41_1_2698.d	R:\K\Kutichim\211221\74_Slot1-41_1_2738.d	R:\K\Kutichim\211221\75_Slot1-48_1_2700.d	R:\K\Kutichim\211221\75_Slot1-48_1_2740.d	R:\K\Kutichim\211221\76_Slot1-47_1_2702.d	R:\K\Kutichim\211221\76_Slot1-47_1_2742.d	R:\K\Kutichim\211221\77_Slot1-51_1_2704.d	R:\K\Kutichim\211221\77_Slot1-51_1_2744.d	R:\K\Kutichim\211221\78_Slot1-45_1_2706.d	R:\K\Kutichim\211221\78_Slot1-45_1_2746.d	R:\K\Kutichim\211221\79_Slot1-50_1_2708.d	R:\K\Kutichim\211221\79_Slot1-50_1_2748.d	R:\K\Kutichim\211221\80_Slot1-39_1_2710.d	R:\K\Kutichim\211221\80_Slot1-39_1_2750.d	R:\K\Kutichim\211221\81_Slot1-23_1_2712.d	R:\K\Kutichim\211221\81_Slot1-23_1_2752.d
P31943;P52597	P52597;P31943	HNRH1_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	639.541			610.981					397.664	426.849			760.615	1465.83		451.812				593.538													663.464		882.202					
P31943;P52597;P55795	P55795;P52597;P31943	HNRH1_HUMAN;HNRH2_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1;HNRNPH2	Heterogeneous nuclear ribonucleoprotein H			931.07		1185.03	1700.8			2398.01	2758.12						1662.8		1261.66		2606.65	2438.43	2645.64	2713.87	3024.99			1364.27	1804.13			2195.53		2225.36		1980.03					
P31943;P55795	P55795;P31943	HNRH1_HUMAN;HNRH2_HUMAN	HNRNPH1;HNRNPH2	Heterogeneous nuclear ribonucleoprotein H	3189.13	3312.18	4965.61	8659.19	4368.61	3452.17	1270.11	2801.75	3310.74	6781.3	3288.62	6285.99	5334.72	5520.38	2672.39	2349.46	1116.77	1149.22	2119.13	2092.08	2578.19	3868.85	5733.58	4338.81	3460.91	5744.52	3664.68	4306.19	1916.03	5473.34	7506.58	3638.01	5293.06	3383.01	3177.04	3672.52	706.504	551.912		
P31944	P31944	CASPE_HUMAN	CASP14	Caspase-14	1658.43	3344.39	1947.26	3022.91					470.738		697.581		1295.08				2296.41	640.024				440.576	715.016	1169.29			1136.01	1511.73	1310.22	888.86			750.523	1500.65	2460.17	938.539	2368.62	2515.96	1111.55	
P31946	P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	21043.6	21251.5	17373	30285.4	30639.1	10091.2	6994.99	7206.47	12143.5	20291.8	9920.67	12062.3	8384.47	8431.15	18184.8	13428.2	20590	9653.25	10313.8	9654.82	8059.84	8467.74	9111.62	12656.6	8440.76	8936.58	12983.7	11717.8	11676.5	14390.8	15948.3	13443.9	17559.3	17283.5	17262.8	22190.2	9025.72	12215.8	17929.3	8463.19
P31946;P61981	P31946;P61981	1433B_HUMAN;1433G_HUMAN	YWHAB;YWHAG	14-3-3 protein beta/alpha	5160.38	8242.52	15365.5	17626.9	23933.9	32367.4	12472.1	39031.2	12983.9	13817	17054.5	21641.6	16279.8	28131.1	13744.8	12211.6	11802.8	12513.2	11014.3	15788.4	14144.1	19676.1	19661.6	17709	8796.97		13853.2	12060.8	18966.4	16101.9	17585	8455.06	14951.6	10570.7	14306	14692.5	20166.3	11274.5	12319.9	14253.1
P31946;P61981;P63104;Q04917	P31946;P63104;Q04917;P61981	1433B_HUMAN;1433F_HUMAN;1433G_HUMAN;1433Z_HUMAN	YWHAB;YWHAG;YWHAH;YWHAZ	14-3-3 protein beta/alpha	1043.97						26812.5	21222.2									645.941	534.121			924.571	1232.67			10488.9	9006.45				712.694	1273.74						1236.54			
P31946;P63104	P31946;P63104	1433B_HUMAN;1433Z_HUMAN	YWHAB;YWHAZ	14-3-3 protein beta/alpha	10548.8	2550.67	4952.07		12550				590.216				755.815	1001.34																										
P31948	P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	9459.57	15517.7	8801.52	11588.4	9087.55	9592.67	7421.41	10208.8	12356.8	13655.7	14629.7	12524.7	11045.4	10990.6	9727.19	8822.13	9522.07	9566.38	7821.82	10900.7	10671	9822.28	8773.64	11124.1	22636.7	21622	11158.7	12088.7	9973.01	7164.92	8073.62	7627.05	12923.1	12364.7	12797.1	9716.46	9137.87	8944.77	6915.34	8508.52
P31949	P31949	S10AB_HUMAN	S100A11	Protein S100-A11	50657.2	55842.6	80006.9	92927.9	101803	84545.7	46886.1	31382.2	73257.8	81319.8	61947.8	78011.3	51398.7	44371.2	89586.8	111343	71202.4	75169.9	85732.8	96800.7	54402.4	64004.8	58380.8	76871.3	35630.6	31409.4	58353.6	67276.4	78937.6	69512.8	60822.7	38218.1	74990.3	59721.5	53534.6	70397.8	85894.3	117942	81299.7	73092.7
P31994;P31995	P31994;P31995	FCG2B_HUMAN;FCG2C_HUMAN	FCGR2B;FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-b									1735.39	1480.69		2540.34	1134.12	2191.6	3003.01	3746.22	1137.61	1032.49		2157.09															1820.2					
P32119	P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	103985	38019.7	181108	144285	126020	135772	234671	241254	33494.3	41250.5	48985.4	67059.5	43881.1	50618.3	37657.9	32556.5	55627.8	57539.6	82833.9	60624.5	86628.5	74795	111003	103236	40831.5	44457.5	105301	97213.4	83071.3	64681.4	74185.7	64990.5	60761.7	46803.8	58916	33218	85136.1	65624.7	93642.4	68582.7
P32119;Q06830	Q06830;P32119	PRDX1_HUMAN;PRDX2_HUMAN	PRDX1;PRDX2	Peroxiredoxin-2	31191.1	114190		63166		1836.98				1299.55		3671.06			2468.74		2811.93					953.662		1514.93		11444.6			18857.8	3545.64	3854.97			6775.84	10169.3	3693.12	10871	23787.1		1861.37
P32189	Q14409;P32189	GLPK_HUMAN	GK	Glycerol kinase			2202.09						1771.11		1843.71	2607.3	919.152	800.414	4191.75	4286.26			2835.64	2547.31			697.001	1316.86							1303.69	1403.3	1019.88	662.07	2202.16	1483.53	359.358	703.298		
P32455	P32455	GBP1_HUMAN	GBP1	Guanylate-binding protein 1	3059.14	4863.69	11973.2	9673	7854.67	8552.07			8570.69	8992.71	10562.3	8657.92	8564.14	8034.07	6806.24	7631.06	7069.81	8835.27	2513.4	2884.7	12598.7	11208.4	9826.82	11260.1	1638.65		11965.6	14640.2	10175.9	6635.1	12159	11449.3	11523	10769.5	12496.1	9822.16	9536.5		5958.81	7950.09
P32455;P32456	P32455;P32456	GBP1_HUMAN;GBP2_HUMAN	GBP1;GBP2	Guanylate-binding protein 1	1759.91		4278.81	2219.73	2843.45	2260.4		2456.05	3751.55	5298.79	6345.85	5985.46	3369.99	3437.03	3147.24	2160.52	3577.85	3275.94	2040.98		6110.32	6236.19	3759.77	4623.17			4383.63	5340.99	3168.55	4998.05	5059.6	3423.34	5544.69	6358.52	3314.37	5557.31	3699.25		6217.57	1129.61
P32456	P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2	1810.82		1869.23	2622.86	1767.38	2465.06			2528.01	3817.4	2608.1	3105.65	1314.98	2272.64	1152.88	1521.11	3087.45	1761.23	1596.48		3169.95	2130.71	2668.27	2409.6			3675.41	3087.28	2180.46	1818.06	2553.23	1218.59	4777.24	2645.42	3721.75	4812.49	1836.17	1646.96	1377.98	
P32969	P32969	RL9_HUMAN	RPL9	60S ribosomal protein L9	969.562				2033.01	2316.61			1432.16	1100.93			3518.87	3550.23	1109.77		1444.83	1755.51	3021.72		1942.2	1251.83	2894.78	3596.1			1738.04		1442.13	1105.73	676.623		1251.65	1123.36	2652.79		1117.72	946.26		
P33121	P33121	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	12852.1		4777.05	6136.54	4625.99	5043.55	6117.37		6800.95	6011.45	6019.11	5564.5	5715.2	5463.72	6549.55	7303.95	3550.18	2570.66	5214.38	5375.77	4908.16	4456.81	3484.39	5673.35			5006.25	5297.34	3671.29	6169.1	4624.75	5805.32	3617.03	4394.94	7167.26	5933.89	5078.2			
P33176	P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	1613.78	1885.9			3125.5	5279.27			3614.42	2798.68	962.992		2917.66	2982.54	2649.65	2653.97	1941.21	2384.48	2147.29	1916.83	2985.57	3397.18	3025.34	3366.03			1762.83	2021.26	3913.54	4598.46		1197.01	3704.81	5118.24	3391.84	4642.68	2024.19	2866.38		
P33241	P33241	LSP1_HUMAN	LSP1	Lymphocyte-specific protein 1		1346.09	3832.52	4630.97	3418.34	2924.57	2404.45	5462.04	3418.82	4597.71	6101.64	7707.19	1546.23	1959.18	3533.56	3822.76	1597.16	1811.05	4055.32	4173.62	2118.67	1715.75	1854.65	1291.09			1329.48	1363.14	1678.21		2166.43	3673.75	2224.27	1049.26	3101.27	974.657	5462.67	3486.6	1437.01	1822.33
P33316	P33316	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	4050.66	3166.1		2583.39	3048.59	3302.67		5853.96	2788.97	4182.79	3236.89	4089.88	3641.92	4059.31	1968.34	1425.8	5145.81	6505.2		1991.49	1248.67	1238.51	2253.18	2802.55	6998.01		3540.4	4047.35	8044.01	9292.75	3689.67	4409.55	4515.96	3195.49	3174.4	3179.95	3630.13	4329.71	7143.91	6469.13
P33908	P33908	MA1A1_HUMAN	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	2480.56	451.779	3300.76	3339.03	1957.99	2463.55	5636.45		1265.32	1468.05	5288.29	4612.48	2185.96	2402.18	3043.49	2398.47	1127.27	978.135	7541.27	7742.12	1795.53	1349.37	2766.29	3041.46			1633.42	1825.34		1620.28	5217.83	3102.1		1393.38	2985.21	1729.29	1731.34	2695.46	2062.67	1456.86
P33993	P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	2703.05				1595.91				2354.96		4182.94		3367.41	6657.35	6641.43	10452.6	23175.2	9880.38		5445.21	8476.47	10382.3	4654.39	4767.04			4318.3	2003.87	2116.01	2651.39	5451.36	3126.83	7068.64	4470.42	3670.01	1204.89	5069.01	10713.7	2493.63	6516
P34059	P34059	GALNS_HUMAN	GALNS	N-acetylgalactosamine-6-sulfatase			1783.85			594.726			703.446		1500.51	1992.12		744.174	1093.91	1067.7	730.739	534.423	1463.1	1025.51	742.202	701.827	792.727						621.385	811.07	952.087	1539.18					1181.55	1420.98	1758.32	
P34096	P34096	RNAS4_HUMAN	RNASE4	Ribonuclease 4	10939.5	6575.72	13413.4	11796	14667.5	12356.8	22157.1	19608.1	10425.5	13718.8	16251.9	14438.3	12168.4	16386.8	11875.5	12844	17596.3	16905.8	17147.4	19593	20316.7	19512.7	10978.1	16097.9	95729.9	89924.9	33622.2	28814.2	16566.8	23224.5	33902	32816.3	18832.5	17796.4	16866.4	20723.3	14321.1	12816.9	19255.8	18297.5
P34896	P34896	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic				527.966	575.518				821.549	1274.57	1237.86	1691.93	834.387	1268.48	929.96	270.42	1447.09	1688.6	828.778	502.828	876.354	692.601	715.266	930.693			371.906			110.293	1491.49	876.906	901.172	920.67	1083.76	883.173	918.144	1021.39	434.696	
P34896;P34897	P34897;P34896	GLYC_HUMAN;GLYM_HUMAN	SHMT1;SHMT2	Serine hydroxymethyltransferase, cytosolic	1807.74		1836.68	2830.04	941.814	1544.22			1887.25				968.82		1152.15		1689.54	2324.93		462.76		812.997	2813.5	2292.66				1133.16	1396.03	1200.44	997.185		903.224	1838.58	1302.13		1330.46	1451.58	1484.05	
P34897	P34897	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	1350.69		2249.72	1384.9	1551	1953.95	3879.05		1872.67	1547.73	2486.87	2757.24	2019.97	2740.84	2297.65	1321.54	1311.86	916.513	1489.83	1336.24	1752.28	2121	2069.03	1657.69	4957.38		1321.87	1177.82	2071.06	1983.87	2245.82	2467.18	1314.89	1731.95	1788.22	2613.63	1384.7	1197.36	1234.28	2175.81
P34931	P0DMV8;P34931;P0DMV9	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	33602.8	64633.9	20435.7	35873.8	15095.4	30456	25450.6	82442	21525	22538.9	17422.6	15440	13115.1	16296.4	20754.1	21340	33527.1	40615.1	22646.2	10863.8	16599.8	24160.4	24789.4	22178.7	79438.9	60418.2	31876.1	22000	28146.4	19198.4	23242	20866.5	24029.6	23378.1	17702.8	17218.7	23870.9	26379.2	23141.4	13092
P34932	P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	6909.05	2684.16	7130.36	8056.14	4336.46	6762.48	6769.07		7069.5	7118.84	6810.05	7368.62	9583.16	8906.68	8891.95	6950.89	9969.53	10495.4	7895.48	7624.71	6679.81	6223.25	7670.65	8170.46			6738.96	7056.62	6473.7	5427.27	7726.93	8851.1	8504.84	8249.93	6969.6	6878.51	6840.58	6177.7	4699.55	10075.7
P34949	P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	1800.19		3201.89	3012.54	2620.93	3191.67			2838.04	3070.22	3481.28	3330.55	3234.32	2811.97	2013.47	2452.2	2674.3	3217.06	2617.66	2564.06	2709.22	1955.33	2141.61	3008.63			3842.96	3982.56	1365.74	2629.78	2597.77	3698.95	1610.99	2106.96	2630.4	2761.01	2313.71	3069.44	2296.49	3494.71
P35052	P35052	GPC1_HUMAN	GPC1	Glypican-1	4113.55	2129.13	2662.48	2518.68	3730.94	4586.51	10801.5	5073.81	2854.61	2942.19	1882.14	1495.68	2211.53	1867.27	5195.34	4022.06	5658.15	5467.41	2490.04	3766.61	2268.19	3142.19	3919.44	3146.46			4083.82	4553.14	6335.66	5223.71	3719.15	4367.88	3673.41	3899.62	2844.65	2770.36	4781.14	4664.88	5095.65	4077.11
P35080	P35080	PROF2_HUMAN	PFN2	Profilin-2	23267.4	26691.9	14431.3	18537.4	12041.9	27694.1	23031.5	36567.4	24365.5	24875.8	9962.54	20171.6	8826.34	17864.6	9703.65	8921.58	14741.5	22227.8	7611.95	4910.24	27745.3	29930	32819.1	41899.2	94412.2	93198.6	40850.9	47357.5	37771.7	43540.9	21622.5	33460.7	28601.6	12779.4	17949.2	4989.56	11958.1	1361.39	12756	4627.76
P35221	P35221	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	3872.96	3351.21	3464.29	1843.49	4442.82	5224.68	3275.58	2903.56	3781.29	3622.02	2484.15	1511.84	6853.58	6492.71	2572.9	3763.82	2412.12	1740.72	3607.36	1945.03	5093.04	3770.31	5196.9	5698.32	4572.92		4288.09	4568.97	4468.08	3231.64	2548.31	4068.42	5404.63	4086.3	5461.52	5091.73	2072.44	2182.06	2105.44	1739.53
P35222	P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	2863.38	2582.25	1176.85	986.091	3809.1	3996.6	3013.6	1978.16	2326.65	2346.59	1344.55	1051.18	3521.57	4320.26	2216.59	1657.95	2820.56	2531.08	1270.25	838.979	1925.56	2102.95	4251.4	4173.16			2142.59	3065.94	4044.97	4693.32	1633.7	1601.4	3887.31	3725.44	2905.7	2783.45	1981.36	2619.45	1906.41	1489
P35232	P35232	PHB_HUMAN	PHB	Prohibitin	1489.41		1004.39		992.177	1548.73			518.584			3524.11	1921.53	3083.12		599.621			2995.55	1073.88	803.95		2628.19	2612.44			989.75		1499.91	1496.08						922.495		858.133		3912.91
P35237	P35237	SPB6_HUMAN	SERPINB6	Serpin B6	15045.9	12076.9	15993	16467.6	11024.7	13764.2	13505.8	11904	14639.1	12259.4	13321.4	12945.4	13586.3	11711.7	11008.1	12365	8749.01	10476.8	9607.91	8854.2	12298.2	11949.5	16193.1	12696.9	13070.2	13647.1	10071.9	10200.9	10825.5	16180.2	11096.4	10900.7	13245.6	9753	10698.5	13162.5	10188.9	11227.3	6941.4	5403.75
P35241	P35241	RADI_HUMAN	RDX	Radixin		1240.92			1243.14	1674.8			1553.97	2233.62	724.541	1042.8	1704.49	1127.39	2416.1	1774.17	3582.81	2670.01			1492.58	908.07	889.147	1488.45			1333.81	578.611	1374.14	1588.3	1231.16		3567.57	2543.23	2157.75	2375.68	2235.85	3348.8	3223.87	1912.17
P35244	P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit									4083.66	4588.24	2194.59	1999.18	4188.53	3615.01	2824.78	3020.94	3033.12	3198.05	3434.2	2232.5	4084.56	3303.65	1497.16				3101.11	4035.03		1228.73	2610.48	1923.62	1890.93	2292.75	1763.97	2898.91			2583.94	2564.83
P35268	P35268	RL22_HUMAN	RPL22	60S ribosomal protein L22		1203.62			4094.17	2560.59		870.384	2839.8	3258.45			4021.87	4274.79	2159.03		1270.9	809.963	1085.87		1435.63	1732.28	2813.19	2804.87	5984.24	5524.95			1480.16	1281.97			1237.09	2149.22	1335.22	1889.62	1775.62	1584.22	1587.82	
P35270	P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	3096.66	3012.99	5101.78	6575.4	4840.66	4160.78	2219.56	3494.54	7302.47	4130.24	7099.17	5304.8	5291.43	2208.14	4149.44	4440.45	5114.65	2912.74	4860.74	2824.45	5649.57	5878.03	6067.39	5711.97			6567.82	5309.18	6388.14	5012.78	6321.28	5588.13	5184.49	5197.2	6033.95	5241.72	2819.08	4206.07	4123.91	3034.97
P35442	P35442	TSP2_HUMAN	THBS2	Thrombospondin-2	35350	25202	17659.7	16849.9	14213.6	18261.3	18046.2	25820.2	16604.8	19331.3	22623.6	22544.7	6117.14	5749.35	28688.5	28596	8560.54	7893.6	25167.9	28534.4	16639.9	18869.5	18738	17455.6	34464	29218.4	10839.4	9527.38	27092.5	27967.7	33921.8	32026.9	21096.2	17533.7	20827.3	19806.9	40682.7	24842.2	33499.4	22273.6
P35443;P49747	P35443;P49747	COMP_HUMAN;TSP4_HUMAN	COMP;THBS4	Thrombospondin-4	4761.98	2278.09	6134.48	6713.36	7777.6	6542.52	5949.99	7251.69	8763.93	9615.12	2223.92				2112.29		8656.45	7790.12	6271.06	2364.43	4735.82	4289.87	4394.84	3429.4	18222.3	17075.4	6737.48	5537.8			4793.11	2147.03	7949.27	4863	7641.51	5109.58	4983.66		11439.8	6935.79
P35527	P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	88748.7	83780.1	81382	98477.5	34961.9	41471.8	41389.3	62180.2	35136.5	40758	47297.8	47224.3	62592.1	53340.9	43153.1	37766.2	215771	199755	62130.9	75819.6	37322.2	41636	46318.1	50287.6	42874.1	38913.1	70019.3	70909.6	44727.2	45953.5	92346	78877	48524.1	41877.4	81212.8	60741.5	64037.7	67204.1	51378.1	45433.9
P35542	P35542	SAA4_HUMAN	SAA4	Serum amyloid A-4 protein	17753.1	15251.9	6491.44	10893.1	1606.8	2331.51	14524.1	17957.7	5915.84	5073.97	7703.68	11309.8	6245.52	6936.67	16264.4	12726.1	2131.69	1488.01	5545.07	7860.95	3739.29	3115.38	3331.98	3958.96			2319.24	3618.52	3572.25	4263.08	7660.79	2622.29	2332.75		8903.7	4413.77	4761.12	8365.64	7278.84	4747.25
P35555	P35555	FBN1_HUMAN	FBN1	Fibrillin-1	8193.14	5042.72	6441.01	6164.74	5040.19	4479.92	6286.67		17348.8	20897.5	9414.67	11832.2	12631.6	13956.5	20390.4	19486.9	21352.1	20700.7	25127	30354.6	17012.1	17766.1	5239.36	6149.75	9345.57	4788.6	21245.5	24624.5	7745.94	8877.75	22420.8	21753.1	29375	27963.3	28089.2	24438.9	7696.94	9753.58	37754.5	30877.9
P35573	P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	1912.2	6076.36	2724.24	1648.07	4206.02	4212.48	4783.56	2818.63	2653.9	3755.06	2328.86	3471.22	3083.94	2242.11	2876.32	1723.63	2175.46	2061.06		2172.28	4343.1	4147.57	3190.5	2616.66	2862.94		4337.26	4106.78	2506.18	1966.44	3988.71	2371.69	3833.68	3020.24	4340.19	3261.46	1459.44	1956.43	2924.86	2642.98
P35579	P35579	MYH9_HUMAN	MYH9	Myosin-9	15715.6	10748.4	7765.06	7679.1	8834.46	8636.31	10969.9	9184.37	9546.18	9505.24	3408.09	4726.61	18549.6	18641	20116.1	16488.5	20171.3	19565.2	10083.6	8442.33	7205.49	6951.98	11200.9	11511.3	15724	16769.3	12909.6	12469.7	22519.3	15324.7	8003.87	8358.79	7086.56	6297.24	7014.18	6155.28	28322.2	22637.1	8130.51	10139.8
P35579;P35580	P35580;P35579	MYH10_HUMAN;MYH9_HUMAN	MYH10;MYH9	Myosin-9	4176.56	3861.85	2339.07	3034.19					3598.39	3628.19	2633.59	2518.93	8276.32	8149.23	7199.49	4969.8	9714.3	11156.4	3111.82	2655.7	3707.39	3902.93	2392.35	3634.15			9309.14	7991.96	3616.23	3201.12	5474.28	4323.38	2010.71	2319.51	3485.74	3004.62	4948.68	5924.55	4267.01	5120.14
P35579;P35580;P35749	P35580;P35749;P35579	MYH10_HUMAN;MYH11_HUMAN;MYH9_HUMAN	MYH10;MYH11;MYH9	Myosin-9	2196.64	11641.7	899.357						1896.62						4684.06		7353.43	12608.3			1042.47	483.902	891.203				2999.79	1261.06		624.406					1198.86		1240.22			
P35579;P35580;P35749;Q7Z406	Q7Z406;P35580;P35749;P35579	MYH10_HUMAN;MYH11_HUMAN;MYH14_HUMAN;MYH9_HUMAN	MYH10;MYH11;MYH14;MYH9	Myosin-9	10584	6008.07	2877.22	2546.23	4194.65	4653.82	3467.64	3288.23	5056.71	4636.97	2463.93	2109.19	6818.45	7491.36	7146.92	7977.81	18166.2	19891.1	3846.08	1967.31	6414.9	4887.83	8399.23	7764.37			15502.8	12927.8	15114.4	11230.6	3530.21	3808.04	2548.98	3881.17	3086.79	3072.6	14066.6	11637.7	2916.97	3198.67
P35579;P35749	P35749;P35579	MYH11_HUMAN;MYH9_HUMAN	MYH11;MYH9	Myosin-9	2739.18	3716.35	897.493	852.968	1692.29	1304.42	1077	580.125	3615.53	3963.47	637.443	602.298	7374.8	8175.04	6704.71	5922.08	14128.2	14614.5	1387.22	684.011	2450.57	3300.6	2847.09	4091.08	1825.03		5794.56	6227.25	7281.93	3626	1150.64	1501.61	1791.39		1803.72		12254.4	6127.52	2211.24	404.859
P35579;P35749;Q7Z406	Q7Z406;P35749;P35579	MYH11_HUMAN;MYH14_HUMAN;MYH9_HUMAN	MYH11;MYH14;MYH9	Myosin-9	27082.7	50437.1	6571.2	6768.68	11796	16148.4	9851.72	10462.4	19091.1	11681.9	5672.56	5225.02	20028.8	15217.7	21871.3	34306.2	84189.4	69141.7	5809.75	5843.79	13513.4	18229.6	22033.7	26757.4	19813.1		30022.2	28836.8	39464.3	59639	7711.98	8742.22	12554.7	12615.9	5963.11	7138.85	43027.9	41441.8	13837	13704.4
P35580	Q7Z406;P35580	MYH10_HUMAN	MYH10	Myosin-10	21281	16126.9	6602.03	5463.63	6129.57	7857.17	13172.6	17859.8	6574.87	6655.88	3025.57	2966.5	4988.69	4561.79	8746.86	7606.67	20845.5	19335.1	5221.9	6250.85	6427.38	5858.01	7280.78	6984.44	28920.1	33877.6	19892	19682.2	19576.9	19812.2	6487.8	6748.65	6855.13	8154.03	7452.99	7878.7	12020.9	11850.7	8299.19	8267.94
P35580;P35749	Q7Z406;P35580;P35749	MYH10_HUMAN;MYH11_HUMAN	MYH10;MYH11	Myosin-10	14375.9	8928.5			13308.3		2083.16	1039.45	2237.55	1401.05					806.026	1348.94	5691.13	3827.94		427.374		505.617	529.383	422.88			1441.91	1455.86		2710.28		426.447								
P35606	P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	3051.22	3658.91	2448.41	4402.63	6532.29	4943.88	2977.07	4165.15	4027.86	3564.47	2956.53	4517.89	5351.87	7320.21	3273.42	3157.68	2021.63	1783.18	2276.14	3053.21	4234.35	4150.61	4269.12	4579.11		10571.2	2623.27	3143.51	3921.92	3926.02	3082.27	2919.15	4199.78	3345.3	4136.79	2555.1	1755.1	933.528		2010.32
P35609	P35609	ACTN2_HUMAN	ACTN2	Alpha-actinin-2	9427.94	9122.32	10233.1	12453.8	14280.5	25092	8326.63	4973.04	12979.2	12464.8	3892.08	6524.3	3362.76	8350.53	3692.39	4550.64	6745.97	8631.39	2811.19	2817.31	10731	14241.4	18138.5	23026.3	8224.95	8069.27	29053.4	28787.4	16107.9	18092.6	10524.1	12321.5	21195.4	19312	20559.9	11409.4	7625.07	8869.92	7073.05	7223.77
P35611	P35611	ADDA_HUMAN	ADD1	Alpha-adducin	933.644	1278.99		684.325	1923.6	2813.5			1721.99	1524.59				1096.06	514.525	2081.44	1478.74				2236.55	1689.27	1717.23	1370.57			1438.63	2002.65	1544.56	1529.96			2343.43						2951.09	
P35613	P35613	BASI_HUMAN	BSG	Basigin	1382.51	4726.07	3631.76	3879.77	1674.48	2022.98			2419.29	2226.11	3158.82	1679.17	3446.67	1830.82	3899.11	3662.72	3679.95	3348.23	5100.28	5345.11	2027.49	2013.2	1810	1984.86			2683.18	3430.98	2292.61	1566.92	3863.61	3532.23	2613.92	2301.06	2968.03	1956.37	3960.11	2905.69	5036.76	3925.56
P35625	P35625	TIMP3_HUMAN	TIMP3	Metalloproteinase inhibitor 3	3998.75	3780.66	4134.33	4064.36							2837.42	2187.01	5826.35	3844.45	2051.35	2854.78	1456.51	1758.5	7879.42	11709.2	2683.81	1508.5	5970.3	4785.28			852.384	2714.99	4838.8	4337.56	10320.5	11980	1011.53		3192.49	4895.11	7248.17	6120.02	2834.24	3661.67
P35637	P35637	FUS_HUMAN	FUS	RNA-binding protein FUS	1261.08	5595.03	2461.54	2759.09	1355.12	1976.05			2048.05	1914.38	1649.22	3000.27	1721.45	1686.67	2217.06	2037.73	2245.72	1826.45	1568.33		2011.31	1714.62	2830.53	2298.29			2830.09	2654.38	1082.94	1281.65	2190.04	2186.31	2025.98	1096.22	2039.74	2039.24	1325.42	1425.61	1596.32	1635.68
